from_id,to_id,mode,day_type,start_time,end_time,mean_minutes
09109,09110,bus:brt,habitual,0:00:00,23:59:59,1.3
09110,09109,bus:brt,habitual,0:00:00,23:59:59,1.3
09110,09111,bus:brt,habitual,0:00:00,23:59:59,1.36
09110,14003,a_pie,habitual,0:00:00,23:59:59,1.95
09111,09110,bus:brt,habitual,0:00:00,23:59:59,1.36
09111,09113,bus:brt,habitual,0:00:00,23:59:59,0.98
09113,09111,bus:brt,habitual,0:00:00,23:59:59,0.98
09113,09114,bus:brt,habitual,0:00:00,23:59:59,1.24
09114,09113,bus:brt,habitual,0:00:00,23:59:59,1.24
09114,09115,bus:brt,habitual,0:00:00,23:59:59,0.71
09115,09114,bus:brt,habitual,0:00:00,23:59:59,0.71
09115,09116,bus:brt,habitual,0:00:00,23:59:59,1.7
09116,09115,bus:brt,habitual,0:00:00,23:59:59,1.7
09116,09117,bus:brt,habitual,0:00:00,23:59:59,1.03
09117,09116,bus:brt,habitual,0:00:00,23:59:59,1.03
09117,09118,bus:brt,habitual,0:00:00,23:59:59,1.38
09118,09117,bus:brt,habitual,0:00:00,23:59:59,1.38
09118,09119,bus:brt,habitual,0:00:00,23:59:59,1.22
09119,09118,bus:brt,habitual,0:00:00,23:59:59,1.22
09119,09120,bus:brt,habitual,0:00:00,23:59:59,1.22
09120,09119,bus:brt,habitual,0:00:00,23:59:59,1.22
09120,09121,bus:brt,habitual,0:00:00,23:59:59,1.5
09121,09120,bus:brt,habitual,0:00:00,23:59:59,1.5
09121,09122,bus:brt,habitual,0:00:00,23:59:59,0.77
09122,09121,bus:brt,habitual,0:00:00,23:59:59,0.77
09122,09123,bus:brt,habitual,0:00:00,23:59:59,1.08
09123,09122,bus:brt,habitual,0:00:00,23:59:59,1.08
12000,05107,bus:brt,habitual,0:00:00,23:59:59,1.62
12000,12001,bus:brt,habitual,0:00:00,23:59:59,0.96
12001,12000,bus:brt,habitual,0:00:00,23:59:59,0.96
12001,12007,bus:brt,habitual,0:00:00,23:59:59,0.82
12002,12003,bus:brt,habitual,0:00:00,23:59:59,1.04
12002,12007,bus:brt,habitual,0:00:00,23:59:59,1.4
12003,07111,a_pie,habitual,0:00:00,23:59:59,5.37
12003,12002,bus:brt,habitual,0:00:00,23:59:59,1.04
12007,12001,bus:brt,habitual,0:00:00,23:59:59,0.82
12007,12002,bus:brt,habitual,0:00:00,23:59:59,1.4
14003,09110,a_pie,habitual,0:00:00,23:59:59,1.95
14005,06109,a_pie,habitual,0:00:00,23:59:59,28.95
09005,09000,bus:brt,habitual,0:00:00,23:59:59,2.67
09005,09001,bus:brt,habitual,0:00:00,23:59:59,2.99
02304,04108,bus:brt,habitual,0:00:00,23:59:59,1.52
04108,02304,bus:brt,habitual,0:00:00,23:59:59,1.52
02304,09123,bus:brt,habitual,0:00:00,23:59:59,1.08
09123,02304,bus:brt,habitual,0:00:00,23:59:59,1.08
